"1,2,3,4,5"
"3.61,4.26,5.97,3.11,5.41"
"6.88,4.66,7.71,4.6,6.93"
"8.68,6.62,6.79,5.51,4.02"
"7.05,6.42,5.26,5.57,6.26"
"3.22,5.47,5.47,4.82,4.7"
"4.77,5.68,4.0,6.43,4.31"
"7.4,7.42,5.47,3.9,5.34"
"4.44,4.61,5.07,5.29,3.95"
"6.17,6.32,5.98,5.68,4.67"
"6.66,5.2,4.26,6.27,3.7"
"4.11,5.17,6.28,6.57,8.45"
"5.41,7.15,7.8,3.81,5.55"
"0.64,6.74,5.34,3.2,4.45"
"3.96,6.72,6.1,7.42,5.82"
"5.12,7.46,6.54,6.0,5.33"
"3.63,5.53,4.9,4.38,5.17"
"7.95,6.52,5.84,7.83,6.42"
"3.35,5.03,5.52,5.67,6.64"
"4.84,5.99,5.65,7.27,4.7"
"5.7,5.3,4.34,5.6,4.64"
"7.66,5.65,5.54,8.59,5.09"
"3.35,6.39,6.25,8.13,2.05"
"7.24,4.27,7.68,5.13,3.23"
"5.52,8.64,6.94,6.96,7.55"
"4.03,3.99,8.73,6.47,7.97"
"6.19,3.68,4.35,7.55,5.13"
"5.8,7.24,6.81,4.05,6.36"
"4.6,6.69,5.78,6.53,5.97"
"5.6,6.44,8.78,7.09,10.0"
"4.92,6.44,4.29,2.86,7.18"
"5.67,5.48,4.24,3.73,5.31"
"6.49,4.15,4.6,2.44,4.07"
"7.88,5.61,2.31,5.1,3.09"
"3.64,4.48,4.71,6.58,5.81"
"8.7,6.96,4.36,7.75,4.37"
"2.57,5.28,5.73,5.61,3.37"
"5.27,4.26,6.01,7.94,4.53"
"6.38,5.02,8.31,3.43,3.88"
"5.92,6.12,6.93,2.94,8.03"
"4.57,4.65,4.63,5.42,6.82"
"5.19,4.27,4.15,6.08,5.49"
"4.76,5.87,6.24,5.45,7.72"
"4.62,5.87,3.52,2.4,5.62"
"6.77,4.74,8.25,5.37,4.21"
"6.04,4.79,7.27,3.54,7.78"
"4.46,5.85,4.8,6.5,6.31"
"6.85,3.33,2.93,6.05,3.94"
"5.96,3.39,7.53,4.09,5.21"
"6.72,4.42,5.33,4.73,4.19"
"6.44,5.18,7.36,3.91,3.43"
